file	label
0.jpeg	Bananas, apples & pears
1.jpeg	Berries & cherries
2.jpeg	Pork, beef & lamb
3.jpeg	Berries & cherries
4.jpeg	Bell peppers, zucchinis & eggplants
5.jpeg	Pudding, yogurt & quark
6.jpeg	Bell peppers, zucchinis & eggplants
7.jpeg	Minced meat & meatballs
8.jpeg	Pork, beef & lamb
9.jpeg	Bananas, apples & pears
10.jpeg	Eggs
11.jpeg	Bell peppers, zucchinis & eggplants
12.jpeg	Bananas, apples & pears
13.jpeg	Cucumber, tomatoes & avocados
14.jpeg	Citrus fruits
15.jpeg	Bananas, apples & pears
16.jpeg	Cucumber, tomatoes & avocados
17.jpeg	Citrus fruits
18.jpeg	Pork, beef & lamb
19.jpeg	Fish
20.jpeg	Bell peppers, zucchinis & eggplants
21.jpeg	Onions, leek, garlic & beets
22.jpeg	Bananas, apples & pears
23.jpeg	Kiwis, grapes & mango
24.jpeg	Fresh bread
25.jpeg	Cheese
26.jpeg	Pork, beef & lamb
27.jpeg	Salad & cress
28.jpeg	Pre-baked breads
29.jpeg	Pre-baked breads
30.jpeg	Pre-baked breads
31.jpeg	Salad & cress
32.jpeg	Fresh herbs
33.jpeg	Salad & cress
34.jpeg	Bananas, apples & pears
35.jpeg	Nectarines, peaches & apricots
36.jpeg	Bananas, apples & pears
37.jpeg	Cucumber, tomatoes & avocados
38.jpeg	Lunch & Deli Meats
39.jpeg	Kiwis, grapes & mango
40.jpeg	Minced meat & meatballs
41.jpeg	Kiwis, grapes & mango
42.jpeg	Bell peppers, zucchinis & eggplants
43.jpeg	Cucumber, tomatoes & avocados
44.jpeg	Milk
45.jpeg	Cheese
46.jpeg	Pork, beef & lamb
47.jpeg	Berries & cherries
48.jpeg	Potatoes
49.jpeg	Cucumber, tomatoes & avocados
50.jpeg	Broccoli, cauliflowers, carrots & radish
51.jpeg	Asparagus, string beans & brussels sprouts
52.jpeg	Pre-baked breads
53.jpeg	Fresh herbs
54.jpeg	Cheese
55.jpeg	Nectarines, peaches & apricots
56.jpeg	Salad & cress
57.jpeg	Fish
58.jpeg	Berries & cherries
59.jpeg	Kiwis, grapes & mango
60.jpeg	Kiwis, grapes & mango
61.jpeg	Nectarines, peaches & apricots
